"Date/Time","Bat","Chlorophyll","2m Chlorophyll","Temp","2m DO%","2m DO","","16m DO%","16m DO","1 m T","3m T","15m T","13m T","11m T","9m T","5m T","7m T","17m T","19m T","Underwater PAR","Surface PAR","","6m DO%sat","6m DO","","9.6 m DO%sat","9.6 m DO","Chlorophyll","mv"
08/01/2019 12:03:00 AM,10.5,6.83,0.9,27.25,111.1,8.79,10.41,14.7,1.65,27.77,25.78,11.25,11.59,12.82,14.37,24.96,21.69,10.81,10.72,4,6,24.43,55.8,4.66,,,,49.8,24.88
08/01/2019 12:18:00 AM,10.5,6.93,1.1,27.24,111.0,8.78,10.41,14.9,1.68,27.76,25.73,11.25,11.58,12.79,14.55,25.01,21.59,10.83,10.72,4,8,24.44,57.3,4.78,13.06,30.2,3.20,47.9,23.95
08/01/2019 12:33:00 AM,10.4,7.69,1.2,27.20,110.7,8.77,10.38,15.0,1.69,27.74,25.95,11.21,11.55,12.77,14.62,25.02,21.77,10.81,10.70,4,6,24.44,58.8,4.90,13.14,30.2,3.19,51.7,25.85
08/01/2019 12:48:00 AM,10.4,7.13,0.9,27.17,110.4,8.75,10.38,15.0,1.69,27.70,26.01,11.21,11.67,12.80,14.58,25.03,22.10,10.81,10.70,4,5,24.46,60.6,5.05,13.15,30.2,3.19,54.9,27.45
08/01/2019 1:03:00 AM,10.4,7.39,1.3,27.16,110.1,8.73,10.31,15.1,1.70,27.68,26.01,11.20,11.63,12.81,14.68,25.03,21.85,10.81,10.70,4,5,24.43,62.2,5.19,13.21,30.0,3.17,46.5,23.25
08/01/2019 1:18:00 AM,10.4,7.02,1.0,27.16,109.9,8.71,10.31,15.1,1.71,27.64,25.93,11.26,11.77,12.85,14.64,25.09,22.03,10.80,10.71,4,6,24.41,63.6,5.31,13.22,30.3,3.20,53.2,26.62
08/01/2019 1:33:00 AM,10.3,6.91,1.0,27.16,109.6,8.69,10.35,15.1,1.71,27.62,25.95,11.27,11.94,12.90,14.74,25.13,22.10,10.79,10.71,2,6,24.41,64.9,5.42,13.41,29.6,3.10,52.2,26.10
08/01/2019 1:48:00 AM,10.3,6.86,1.2,27.16,109.4,8.67,10.30,15.1,1.70,27.60,26.04,11.28,11.97,12.87,14.63,25.12,22.04,10.78,10.71,3,5,24.31,66.1,5.52,13.43,29.6,3.11,50.2,25.11
08/01/2019 2:03:00 AM,10.3,8.48,1.1,27.16,109.1,8.65,10.27,15.0,1.70,27.59,26.07,11.28,11.97,12.89,14.59,25.10,22.02,10.77,10.72,2,1,24.42,66.8,5.58,13.70,29.6,3.09,47.3,23.66
08/01/2019 2:18:00 AM,10.3,7.63,1.1,27.15,108.9,8.64,10.27,15.1,1.70,27.54,26.18,11.29,11.74,12.90,14.70,25.20,22.04,10.77,10.72,1,5,24.53,67.6,5.63,13.78,28.9,3.01,47.2,23.61
08/01/2019 2:33:00 AM,10.3,6.45,0.9,27.15,108.8,8.63,10.24,15.0,1.69,27.52,26.24,11.29,11.81,12.88,14.72,25.16,22.20,10.68,10.63,2,3,24.54,67.7,5.64,13.73,30.3,3.16,49.6,24.78
08/01/2019 2:48:00 AM,10.2,7.08,1.0,27.14,108.7,8.62,10.26,15.0,1.69,27.48,26.27,11.30,11.95,12.83,14.74,25.16,22.25,10.69,10.68,3,5,24.46,68.0,5.67,0.00,11.0,1.62,50.2,25.12
08/01/2019 3:03:00 AM,10.2,7.05,1.2,27.14,108.6,8.61,10.27,15.0,1.70,27.46,26.29,11.30,11.77,12.72,14.67,25.16,22.32,10.68,10.64,2,3,24.50,68.1,5.68,13.46,30.2,3.17,62.6,31.31
08/01/2019 3:18:00 AM,10.2,6.97,0.9,27.14,108.6,8.61,10.27,15.1,1.70,27.43,26.30,11.31,11.69,12.72,14.89,25.14,22.46,10.69,10.62,2,3,24.57,68.2,5.68,13.43,29.4,3.09,49.7,24.84
08/01/2019 3:33:00 AM,10.2,7.63,1.0,27.14,108.5,8.61,10.25,15.1,1.70,27.40,26.33,11.30,11.80,12.89,15.24,25.14,22.42,10.68,10.62,2,3,24.55,68.5,5.70,13.80,27.9,2.91,44.6,22.29
