Air Temperature,Wind Speed,Wind Direction
20.1,0.3,0
20.3,0.5,155
20.3,0.5,132
20.4,0.3,244
20.4,0,0
20.1,0,152
20.2,0,0
20.2,0,191
20.3,0.6,142
20.1,0.5,160
19.8,1.6,224
19.8,0.6,229
20,0.7,227
19.9,0.4,140
19.8,0.8,232
20,0,0
19.9,0.5,241
19.9,0,0
19.9,0.6,210
20,0.4,238
19.8,0.7,225
19.7,0.6,227
19.7,0.7,208
19.7,0.6,138
19.8,0.3,290
20,0.4,228
20.4,0.6,307
21,0,0
21.4,0.6,338
21.7,1,301
22.6,0,271
22.5,1.2,305
22.8,1.7,321
23.2,1,330
23.3,1.9,315
23.2,2.3,324
23.7,2.4,315
24.2,2.4,333
24.4,2.4,315
24.4,3,316
24.5,2.7,318
25.3,2.2,315
24.8,3.1,318
24.7,2.6,312
24.9,1.8,330
26.3,0.7,93
26.9,0.7,25
26.9,1.4,19
27.2,0.9,0
28,1.3,13
26.7,1.5,2
27.4,0.6,308
26.7,1.1,350
26.3,1.5,314
26.9,2.1,317
27.7,0.8,9
27.3,0.7,334
27.6,1.4,310
26.8,2.2,323
27.1,1.2,305
28.3,1.3,300
27.4,1.4,312
29.3,0.4,327
28.5,1.8,324
28.9,2.1,306
29.1,1.2,302
28,2.8,311
28,2.6,308
27.6,1.4,302
27.2,2.3,310
27.6,1.5,310
27.8,1.9,312
27.6,0.9,319
27.5,1,308
28.4,0,0
27.1,1.1,306
27.2,0,0
26.3,1.6,309
25,1.3,311
24.7,1.6,312
23.6,1.5,310
22.9,1.2,312
22.6,1.1,321
22.3,1.5,317
22.1,1.2,307
21.9,1.3,314
21.7,1,314
21.7,0.7,318
21.8,0.8,309
21.7,0.9,315
20.9,0,0
20.3,0.5,77
19.8,0.4,105
19.4,0,0
19.5,0,88
19,0.7,93
19.7,0.3,0
19.5,0,0
19,0.5,102
18.8,0,0
18.7,0,0
18.6,0,0
18.4,0,0
18.1,0,0
18,0,0
17.7,1.1,238
17.7,0,0
17.7,0,0
17.3,0.7,246
17.2,0.5,226
17,0.5,236
16.6,0,0
16.7,0.3,0
17,0.5,226
17,0,0
16.8,0.4,0
16.7,0,0
16.8,0.6,109
16.8,0.4,150
16.8,0.5,151
16.8,0.4,0
16.9,0.6,243
17.4,0,213
17.6,1.1,220
17.8,0.9,221
18.7,0.5,223
20.6,0.6,230
21,0.5,214
20.7,1.1,227
24.7,0.5,238
27,0.5,249
26.9,0.5,247
27.5,0.4,240
28,0.6,265
28.6,0.5,248
29.3,0.4,235
29.5,0.4,258
29.8,0.5,233
29.1,0.6,255
29.3,0.6,255
30.5,0.6,226
29.9,0.5,243
30.7,0.9,222
29.9,0.4,269
28.9,0.8,193
29.9,1.1,295
29.8,1.1,252
28,1.6,305
28.9,1.3,302
29.2,0.6,242
31,0.8,260
30.4,0.8,289
29.3,1.9,311
29.9,1.2,300
29.9,1.4,296
29.1,1.8,307
29,1,296
30.2,1.4,270
30,0.9,303
29.3,2,304
30.5,0.6,279
31.1,0.9,301
30.9,0.7,290
30.2,1.1,307
30.9,1.3,309
29.7,0.8,329
30,0.8,334
30.2,0.7,313
30.4,0.4,0
30.3,0.5,302
30.5,0.7,293
29.8,0.4,314
29.9,0.4,266
28.9,0.4,266
28.1,0,0
27.1,0.4,0
26,0.6,281
25.4,0,0
24.3,0.3,124
23.2,0,0
22.9,0.9,206
22.9,1.2,222
22.2,0.6,237
21.9,1.5,221
21.7,0.8,215
21.6,0.3,243
21.4,0.8,232
21.3,0.8,229
21.3,1.5,220
21.3,0.9,230
21,0.5,205
21,1,225
20.9,1.9,222
20.4,1.6,221
20.3,0.9,226
20.2,1.5,224
20.1,1.7,222
19.7,1.4,216
19.5,0.9,214
19.3,1.3,213
19.3,1.3,212
19.2,1.1,231
19.2,1.1,203
19.1,1.2,227
18.9,0.9,240
18.9,1.1,222
19.3,0.3,0
19,1,231
18.8,0.9,212
18.5,0.8,230
18.3,0.8,230
18.2,1.2,214
18.3,1.3,230
18.2,1.2,227
18,0,148
18,0.5,199
17.9,0.6,217
18.1,0,0
18.4,0,0
18.9,0,0
19.8,0,0
20.9,0.4,347
20.4,0,348
22.2,0.5,107
24.4,0.4,116
23.7,0.4,107
24.9,0.7,263
23.6,1.2,229
24,0.7,230
23.7,1.5,223
23.5,1.2,219
24.1,1.2,217
24.7,0.6,240
26,1.1,224
27.3,0.9,255
27.4,1.2,237
28.5,1,209
28.3,0.9,232
29.2,1.5,232
28,1.4,221
29.1,1.7,223
29.3,0.7,235
29.1,0.9,245
29.3,1.3,266
28.3,1.8,221
29,1.1,226
29.1,1.4,233
29.1,0.9,279
29.5,3.3,225
29.8,2.3,233
28.9,3.1,220
29.4,1.5,218
29.8,2.4,237
29.5,1,316
31.2,0.7,313
31.1,1.3,260
31,0.6,272
30.8,1.3,311
30.1,1.2,308
29.5,1.2,308
29.7,1.3,312
29.8,2.1,307
29.7,1.7,312
29.7,1.4,316
29.7,1.4,316
29.7,1.2,310
29.7,0.8,326
30.1,0.6,307
29,0.8,309
28.6,0.8,311
28,0.3,297
27.5,0,0
25.7,0.4,0
24.3,0.3,0
23.8,0,0
23.6,0,0
24.4,0.7,306
25.2,0.8,307
24.4,0,0
24.3,0,0
23.7,0,0
24,0.5,118
24,0.8,225
23.8,0,0
23.9,2,350
23.6,1,10
23.3,0.7,177
23.1,0.3,0
23.1,0.5,94
22.5,0,0
22.5,0.6,342
22.4,0,236
22.5,0,0
22.6,0,0
22.3,0.6,227
22.2,0.7,175
21.6,1.2,222
21.5,0,0
21.7,0,0
21.9,0.6,309
22,0,0
21.8,0.4,107
21.8,0,0
21.4,0.5,350
21.1,0.5,5
21.1,0,0
20.9,0.3,12
20.8,1.4,352
20.8,1.3,356
20.5,1.5,6
20.1,1.6,347
19.7,0.8,350
19.4,1.4,342
19.2,1.2,356
19.3,1.3,345
